
粉筆	02469.HK	跌穿上市價	2023/01/09	500	46.14-315.44	9.9	9.900	32.9	16手	7.6%	2.710	+12.120%	-72.626%
澳亞集團	02425.HK	跌穿上市價	2022/12/30	1,000	4.27-44.69	6.4	6.400	1.1	2手	70.0%	1.040	0.000%	-83.750%
金山雲	03896.HK		2022/12/30	2,000	N/A	N/A	N/A	N/A	N/A	N/A	3.130	N/A	N/A
康灃生物－Ｂ	06922.HK	跌穿上市價	2022/12/30	200	11.96-46.63	18.9	18.900	1.0	1手	100.0%	6.980	-6.560%	-63.069%
博安生物	06955.HK	跌穿上市價	2022/12/30	200	43.03-203.71	19.8	19.800	1.1	3手	43.8%	8.600	0.000%	-56.566%
特海國際	09658.HK		2022/12/30	1,000	N/A	N/A	N/A	N/A	N/A	N/A	13.220	N/A	N/A
GUANZE MEDICAL 	02427.HK	跌穿上市價	2022/12/29	5,000	2.47-51.30	0.53	0.530	13.2	12手	15.0%	0.430	+230.190%	-18.868%
星空華文	06698.HK	跌穿上市價	2022/12/29	400	9.05-526.07	26.5	26.500	4.1	4手	40.1%	4.360	+70.570%	-83.547%
思派健康	00314.HK	跌穿上市價	2022/12/23	200	37.31-340.31	18.6	18.600	7.3	15手	15.0%	5.980	+34.410%	-67.849%
業聚醫療	06929.HK	跌穿上市價	2022/12/23	500	23.67-139.56	8.8	8.800	1.0	3手	46.1%	4.120	+3.980%	-53.182%
TECHSTARACQ-Z	07855.HK	跌穿上市價	2022/12/23	110,000	10.01-12.51	10	10.000	N/A	N/A	N/A	9.600	-100.000%	-4.000%
ＢＯＳＳ直聘－Ｗ	02076.HK		2022/12/22	100	N/A	N/A	N/A	N/A	N/A	N/A	53.900	N/A	N/A
上美股份	02145.HK		2022/12/22	100	73.14-226.64	25.2	25.200	認購不足	1手	100.0%	31.250	0.000%	+24.008%
思路迪醫藥股份	01244.HK	跌穿上市價	2022/12/15	500	4.92-336.71	24.98	24.980	5.0	7手	25.0%	2.120	+25.900%	-91.513%
步陽國際	02457.HK	跌穿上市價	2022/12/15	5,000	2.10-5.90	0.5	0.500	50.2	14手	20.0%	0.320	-40.000%	-36.000%
衛龍美味	09985.HK	跌穿上市價	2022/12/15	200	103.90-280.00	10.56	10.560	14.3	2手	70.0%	7.250	-5.110%	-31.345%
美皓集團	01947.HK	跌穿上市價	2022/12/14	5,000	1.47-4.92	0.84	0.840	40.3	30手	6.1%	0.365	-14.290%	-56.548%
高視醫療	02407.HK	跌穿上市價	2022/12/12	100	12.50-83.01	51.4	51.400	0.5	1手	100.0%	10.680	0.000%	-79.222%
濠暻科技	02440.HK	跌穿上市價	2022/12/12	1,000	1.78-5.47	2.73	2.730	95.7	20手	10.0%	0.900	-26.740%	-67.033%
花房集團	03611.HK	跌穿上市價	2022/12/12	1,000	17.00-45.60	2.8	2.800	32.4	20手	20.0%	2.300	+12.500%	-17.857%
陽光保險	06963.HK	跌穿上市價	2022/12/09	500	248.43-670.54	5.83	5.830	認購不足	1手	100.0%	2.860	0.000%	-50.943%
力勤資源	02245.HK	跌穿上市價	2022/12/01	200	68.15-256.79	15.8	15.800	0.5	2手	80.0%	7.830	0.000%	-50.443%
奇富科技－Ｓ	03660.HK		2022/11/29	50	159.45-446.45	50.03	50.030	1.5	2手	70.0%	130.000	+3.440%	+159.844%
凌雄科技	02436.HK	跌穿上市價	2022/11/24	300	12.72-52.64	7.6	7.600	5.2	7手	30.0%	3.660	+2.630%	-51.842%
交運燃氣	01407.HK	跌穿上市價	2022/11/16	2,000	1.32-7.04	1.42	1.420	6.2	7手	30.0%	0.380	0.000%	-73.239%
子不語	02420.HK	跌穿上市價	2022/11/11	500	10.00-47.00	7.86	7.860	0.9	2手	50.2%	4.500	+5.470%	-42.748%
多想雲	06696.HK	跌穿上市價	2022/11/09	2,000	0.91-23.74	1.96	1.960	1.8	2手	50.8%	0.169	+2.040%	-91.378%
心泰醫療	02291.HK	跌穿上市價	2022/11/08	1,000	45.08-149.10	29.15	29.150	1.1	1手	100.0%	17.460	0.000%	-40.103%
巨子生物	02367.HK		2022/11/04	200	232.06-577.10	24.3	24.300	1.1	1手	100.0%	48.900	+9.880%	+101.235%
飛天雲動	06610.HK	跌穿上市價	2022/10/18	1,000	5.25-94.30	2.21	2.210	0.1	1手	100.0%	0.405	0.000%	-81.674%
潤歌互動	02422.HK		2022/10/17	4,000	2.51-26.80	0.64	0.640	13.1	4手	50.0%	0.830	+110.940%	+29.688%
